pnr;nom;prenom;type_pax;cabine;categorie;statut_pax;assistance;droit_entree;destination_finale;chambres_demandees;flying_blue;groupe;age;email;telephone;vol;remarque;classe_reservation;date_naissance;nationalite;passeport_num;passeport_exp;passeport_pays;sexe;adresse_domicile;vol_correspondance;heure_correspondance
3KQW7P;MARTIN;Paul;ADT;J;PAX;EMBARQUE;;OUI;CDG;;GOLD;;44;paul.martin@example.nc;+687751234;SB800;;C;1982-03-14;FRA;12AB34567;2031-05-20;FRA;M;12 rue de la Paix, 98800 Noumea;TG930;2026-09-21T13:25+07:00
3KQW7P;MARTIN;Claire;ADT;J;PAX;EMBARQUE;;OUI;CDG;;NONE;;41;;;SB800;;;1985-07-02;FRA;12AB34568;2031-05-20;FRA;F;12 rue de la Paix, 98800 Noumea;TG930;2026-09-21T13:25+07:00
5RBQ9D;LE GOFF;Marie;ADT;W;PAX;EMBARQUE;;OUI;CDG;2;PLATINUM;;38;m.legoff@example.fr;;SB800;;;1988-04-22;FRA;19CD77401;2030-11-03;FRA;F;5 allee des Cocotiers, 98800 Noumea;TG930;2026-09-21 13:25
5RBQ9D;LE GOFF;Tom;CNN;W;PAX;EMBARQUE;;OUI;CDG;;NONE;;7;;;SB800;;;2019-06-30;FRA;19CD77402;2029-08-12;FRA;M;5 allee des Cocotiers, 98800 Noumea;TG930;2026-09-21 13:25
5RBQ9D;LE GOFF;Eva;INF;W;PAX;EMBARQUE;BSCT;OUI;CDG;;NONE;;1;;;SB800;;;2025-02-11;FRA;;;;F;5 allee des Cocotiers, 98800 Noumea;TG930;2026-09-21 13:25
8HFT2M;NGUYEN;Minh;ADT;Y;PAX;EMBARQUE;WCHC;OUI;CDG;1;SILVER;;67;;+687754321;SB800;"fauteuil personnel; batterie seche";;1959-01-09;VNM;P 445 812 09;2029-03-31;VNM;M;18 Tran Hung Dao, Hanoi;AF165;05:40
8HFT2M;NGUYEN;Lan;ADT;Y;PAX;EMBARQUE;;OUI;CDG;1;NONE;;64;;;SB800;accompagnante;;1962-05-17;VNM;P44581210;2029-03-31;VNM;F;18 Tran Hung Dao, Hanoi;AF165;05:40
W4KP6T;SMITH;John;ADT;Y;PAX;EMBARQUE;WCHR BLND;OUI;CDG;;NONE;;72;;;SB800;alarme incendie visuelle requise;Q;1954-02-28;GBR;GB9930012;2026-01-15;GBR;M;7 Kingsway, London;;
QN7V2X;TANAKA;Hiro;ADT;Y;PAX;EMBARQUE;;NON;NRT;;NONE;;29;;;SB800;transit, pas de droit d'entree en Thailande;;1997-09-05;JPN;TK4410092;2032-06-30;JPN;M;2-4-1 Shibuya, Tokyo;TG676;2026-09-21T08:10
QN7V2X;TANAKA;Yuki;ADT;Y;PAX;NON_EMBARQUE;;NON;NRT;;NONE;;27;;;SB800;no-show au depart de NOU;;;;;;;;;TG676;2026-09-21T08:10
B2MD8K;ROBERT;Anne;ADT;Y;PAX;EMBARQUE;PETC;OUI;CDG;;NONE;;35;anne.robert@example.fr;;SB800;chien 6 kg en cabine;;;;;;;;;;
T6ZL3H;DUBOIS;Sophie;ADT;Y;PAX;EMBARQUE;;OUI;CDG;3;NONE;;34;;;SB800;famille de 7;;1992-11-30;FRANCE;20EF55120;2030-02-28;FRA;F;3 rue des Ecoles, 98800 Noumea;;
T6ZL3H;DUBOIS;Marc;ADT;Y;PAX;EMBARQUE;;OUI;CDG;;NONE;;36;;;SB800;;;1990-08-19;FRA;20EF55121;2030-02-28;FRA;M;3 rue des Ecoles, 98800 Noumea;;
T6ZL3H;DUBOIS;Leo;C05;Y;PAX;EMBARQUE;;OUI;CDG;;NONE;;5;;;SB800;;;;;;;;;;;
T6ZL3H;DUBOIS;Jade;CHD;Y;PAX;EMBARQUE;;OUI;CDG;;NONE;;9;;;SB800;;;;;;;;;;;
T6ZL3H;DUBOIS;Nina;CHD;Y;PAX;EMBARQUE;;OUI;CDG;;NONE;;11;;;SB800;;;;;;;;;;;
T6ZL3H;DUBOIS;Ugo;CHD;Y;PAX;EMBARQUE;;OUI;CDG;;NONE;;13;;;SB800;;;;;;;;;;;
T6ZL3H;DUBOIS;Lou;INF;Y;PAX;EMBARQUE;BSCT;OUI;CDG;;NONE;;1;;;SB800;;;;;;;;;;;
F9GH4R;KOUA;Teva;UNN;Y;PAX;EMBARQUE;UMNR;OUI;CDG;;NONE;;11;;;SB800;mineur non accompagne;;;;;;;;;;
D3JW8P;FERRAND;Hugo;ADT;Y;PAX;AUTONOME;;OUI;CDG;;NONE;;44;;;SB800;heberge par sa famille a Bangkok;;;;;;;;;;
